Country,Year,Beginning Stocks,Arabica Production,Robusta Production,Other Production,Production,Bean Imports,Roast & Ground Imports,Soluble Imports,Imports,Total Supply,Bean Exports,Roast & Ground Exports,Soluble Exports,Exports,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Domestic Consumption,Ending Stocks,Total Distribution
Equatorial Guinea,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2007,220,5000,0,0,5000,0,0,0,0,5220,2800,0,0,2800,2300,0,2300,120,5220
European Union,2007,12900,0,0,0,0,43900,0,0,43900,56800,0,1000,60,1060,40745,2220,42965,12775,56800
Gabon,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2007,0,0,0,0,0,30,0,0,30,30,0,0,0,0,30,0,30,0,30
Ghana,2007,5,0,27,0,27,0,0,0,0,32,26,0,0,26,1,0,1,5,32
Guatemala,2007,96,4100,10,0,4110,50,3,140,193,4399,3890,0,25,3915,175,140,315,169,4399
Guinea,2007,12,0,250,0,250,0,0,0,0,262,195,0,0,195,40,0,40,27,262
Guyana,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,2007,65,335,0,0,335,0,0,0,0,400,19,0,0,19,340,0,340,41,400
Honduras,2007,41,3642,0,0,3642,0,7,20,27,3710,3440,0,0,3440,193,20,213,57,3710
India,2007,1868,1540,2825,0,4365,490,0,0,490,6723,2620,0,1040,3660,1020,245,1265,1798,6723
Indonesia,2007,248,800,7200,0,8000,100,0,240,340,8588,5510,0,850,6360,1350,370,1720,508,8588
Iran,2007,0,0,0,0,0,25,0,150,175,175,0,0,0,0,25,150,175,0,175
Jamaica,2007,0,35,0,0,35,0,0,0,0,35,30,0,0,30,5,0,5,0,35
Japan,2007,2160,0,0,0,0,6150,120,530,6800,8960,0,0,0,0,6470,530,7000,1960,8960
Jordan,2007,0,0,0,0,0,215,0,75,290,290,0,0,0,0,215,75,290,0,290
Kazakhstan,2007,0,0,0,0,0,0,0,280,280,280,0,0,0,0,0,280,280,0,280
Kenya,2007,442,750,0,0,750,0,0,0,0,1192,820,0,0,820,20,0,20,352,1192
"Korea, South",2007,0,0,0,0,0,1550,60,0,1610,1610,0,0,0,0,1610,0,1610,0,1610
Kosovo,2007,0,0,0,0,0,45,0,0,45,45,0,0,0,0,45,0,45,0,45
Laos,2007,0,0,355,0,355,0,0,0,0,355,225,0,0,225,130,0,130,0,355
Liberia,2007,0,0,25,0,25,0,0,0,0,25,25,0,0,25,0,0,0,0,25
Madagascar,2007,132,30,525,0,555,0,0,0,0,687,165,0,0,165,450,0,450,72,687
Malawi,2007,2,25,0,0,25,0,0,0,0,27,25,0,0,25,1,0,1,1,27
Malaysia,2007,0,0,770,0,770,650,0,0,650,1420,0,0,900,900,0,520,520,0,1420
Mexico,2007,19,4100,250,0,4350,500,20,150,670,5039,1910,0,700,2610,650,1649,2299,130,5039
Montenegro,2007,0,0,0,0,0,130,0,0,130,130,0,0,0,0,130,0,130,0,130
Morocco,2007,0,0,0,0,0,570,10,0,580,580,0,0,0,0,580,0,580,0,580
New Caledonia,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2007,0,0,0,0,0,140,20,120,280,280,0,0,0,0,160,120,280,0,280
Nicaragua,2007,18,1850,0,0,1850,15,0,30,45,1913,1580,10,165,1755,95,30,125,33,1913
Nigeria,2007,0,0,35,0,35,0,0,0,0,35,1,0,0,1,29,5,34,0,35
North Macedonia,2007,0,0,0,0,0,110,0,0,110,110,0,0,0,0,110,0,110,0,110
Norway,2007,0,0,0,0,0,580,60,90,730,730,0,0,0,0,640,90,730,0,730
Panama,2007,0,150,0,0,150,0,0,0,0,150,96,0,0,96,54,0,54,0,150
Papua New Guinea,2007,46,925,45,0,970,0,0,0,0,1016,900,0,0,900,30,0,30,86,1016
Paraguay,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,2007,74,2800,0,0,2800,0,0,0,0,2874,2660,0,0,2660,10,140,150,64,2874
Philippines,2007,59,35,425,0,460,325,0,600,925,1444,0,0,0,0,125,1190,1315,129,1444
Russia,2007,0,0,0,0,0,970,150,3150,4270,4270,0,0,0,0,1120,3150,4270,0,4270
Rwanda,2007,0,230,0,0,230,0,0,0,0,230,230,0,0,230,0,0,0,0,230
Saudi Arabia,2007,0,0,0,0,0,580,15,0,595,595,0,0,0,0,595,0,595,0,595
Senegal,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,2007,0,0,0,0,0,590,0,100,690,690,0,0,0,0,590,100,690,0,690
Sierra Leone,2007,0,0,42,0,42,0,0,0,0,42,25,0,0,25,17,0,17,0,42
Singapore,2007,0,0,0,0,0,115,0,0,115,115,0,0,0,0,115,0,115,0,115
South Africa,2007,0,0,0,0,0,290,0,90,380,380,0,0,0,0,290,90,380,0,380
Sri Lanka,2007,11,10,25,0,35,0,0,0,0,46,0,0,0,0,40,0,40,6,46
Switzerland,2007,0,0,0,0,0,1685,0,0,1685,1685,0,250,0,250,1435,0,1435,0,1685
Taiwan,2007,0,0,0,0,0,185,30,0,215,215,0,0,0,0,215,0,215,0,215
Tanzania,2007,415,490,250,0,740,0,0,0,0,1155,760,0,10,770,25,0,25,360,1155
Thailand,2007,7,0,900,0,900,495,0,0,495,1402,0,0,810,810,220,270,490,102,1402
Togo,2007,0,0,255,0,255,0,0,0,0,255,250,0,0,250,2,0,2,3,255
Trinidad and Tobago,2007,0,1,1,0,2,0,0,0,0,2,0,1,0,1,1,0,1,0,2
Turkey,2007,0,0,0,0,0,230,20,0,250,250,0,0,0,0,250,0,250,0,250
Uganda,2007,401,508,2982,0,3490,0,0,0,0,3891,3210,0,0,3210,120,0,120,561,3891
Ukraine,2007,0,0,0,0,0,90,260,2070,2420,2420,0,0,0,0,350,2070,2420,0,2420
United Kingdom,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2007,5700,136,0,0,136,21760,0,570,22330,28166,0,750,0,750,21246,570,21816,5600,28166
Uruguay,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2007,483,996,0,0,996,0,4,1,5,1484,225,35,0,260,800,10,810,414,1484
Vietnam,2007,244,400,17600,0,18000,65,1,22,88,18332,15600,20,115,15735,775,75,850,1747,18332
Yemen,2007,0,150,0,0,150,0,0,0,0,150,40,0,0,40,110,0,110,0,150
Yemen (Sanaa),2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,2007,0,60,0,0,60,0,0,0,0,60,59,0,0,59,1,0,1,0,60
Zimbabwe,2007,0,31,0,0,31,0,0,0,0,31,27,0,0,27,4,0,4,0,31
Albania,2008,0,0,0,0,0,90,0,0,90,90,0,0,0,0,90,0,90,0,90
Algeria,2008,0,0,0,0,0,2045,0,25,2070,2070,0,0,0,0,2045,25,2070,0,2070
Angola,2008,25,0,30,0,30,0,0,0,0,55,4,0,0,4,31,0,31,20,55
Argentina,2008,0,0,0,0,0,480,5,200,685,685,0,0,0,0,485,200,685,0,685
Armenia,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2008,0,0,0,0,0,950,115,275,1340,1340,0,0,0,0,1065,275,1340,0,1340
Benin,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2008,62,135,0,0,135,0,0,0,0,197,73,0,0,73,80,0,80,44,197
Bosnia and Herzegovina,2008,0,0,0,0,0,315,0,0,315,315,0,0,0,0,315,0,315,0,315
Brazil,2008,2781,40500,12800,0,53300,0,0,0,0,56081,28396,88,2991,31475,17030,1000,18030,6576,56081
Burundi,2008,23,250,0,0,250,0,0,0,0,273,250,0,0,250,5,0,5,18,273
Cameroon,2008,124,90,560,0,650,0,0,0,0,774,480,0,0,480,70,5,75,219,774
Canada,2008,0,0,0,0,0,1940,860,925,3725,3725,0,0,0,0,2800,925,3725,0,3725
Central African Republic,2008,158,0,10,0,10,0,0,0,0,168,6,0,0,6,25,0,25,137,168
Chile,2008,0,0,0,0,0,190,0,0,190,190,0,0,0,0,190,0,190,0,190
China,2008,0,555,0,0,555,322,41,114,477,1032,491,7,196,694,188,150,338,0,1032
Colombia,2008,885,8664,0,0,8664,650,0,10,660,10209,8160,50,725,8935,765,300,1065,209,10209
Congo (Brazzaville),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),2008,48,100,200,0,300,0,0,0,0,348,117,0,0,117,200,0,200,31,348
Costa Rica,2008,76,1580,0,0,1580,15,0,18,33,1689,1385,11,2,1398,247,18,265,26,1689
Cote d'Ivoire,2008,90,0,1853,0,1853,0,0,0,0,1943,1180,0,375,1555,300,0,300,88,1943
Croatia,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,2008,0,127,0,0,127,0,0,0,0,127,6,0,0,6,121,0,121,0,127
Dominican Republic,2008,0,545,0,0,545,0,0,0,0,545,42,0,0,42,503,0,503,0,545
Ecuador,2008,11,360,275,0,635,310,2,77,389,1035,179,2,680,861,7,160,167,7,1035
Egypt,2008,0,0,0,0,0,275,0,0,275,275,0,0,0,0,275,0,275,0,275
El Salvador,2008,5,1550,0,0,1550,3,11,140,154,1709,1506,4,0,1510,27,140,167,32,1709
Equatorial Guinea,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2008,120,5500,0,0,5500,0,0,0,0,5620,3000,0,0,3000,2500,0,2500,120,5620
European Union,2008,12775,0,0,0,0,43680,0,0,43680,56455,0,910,100,1010,37090,2030,39120,16325,56455
Gabon,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2008,0,0,0,0,0,55,0,0,55,55,0,0,0,0,55,0,55,0,55
Ghana,2008,5,0,19,0,19,0,0,0,0,24,18,0,0,18,1,0,1,5,24
Guatemala,2008,169,3970,10,0,3980,60,3,160,223,4372,3783,0,32,3815,175,160,335,222,4372
Guinea,2008,27,0,400,0,400,0,0,0,0,427,375,0,0,375,40,0,40,12,427
Guyana,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,2008,41,360,0,0,360,0,0,0,0,401,17,0,0,17,340,0,340,44,401
Honduras,2008,57,3225,0,0,3225,0,8,10,18,3300,3050,0,0,3050,190,10,200,50,3300
India,2008,1798,1325,3050,0,4375,560,0,0,560,6733,2125,0,825,2950,1000,215,1215,2568,6733
Indonesia,2008,508,1300,8700,0,10000,90,0,200,290,10798,6625,0,1075,7700,1545,345,1890,1208,10798
Iran,2008,0,0,0,0,0,25,0,160,185,185,0,0,0,0,25,160,185,0,185
Jamaica,2008,0,31,0,0,31,0,0,0,0,31,26,0,0,26,5,0,5,0,31
Japan,2008,1960,0,0,0,0,6375,115,630,7120,9080,0,0,0,0,6400,630,7030,2050,9080
Jordan,2008,0,0,0,0,0,260,0,100,360,360,0,0,0,0,260,100,360,0,360
Kazakhstan,2008,0,0,0,0,0,0,0,290,290,290,0,0,0,0,0,290,290,0,290
Kenya,2008,352,900,0,0,900,0,0,0,0,1252,980,0,0,980,20,0,20,252,1252
"Korea, South",2008,0,0,0,0,0,1680,65,0,1745,1745,0,0,0,0,1745,0,1745,0,1745
Kosovo,2008,0,0,0,0,0,35,0,0,35,35,0,0,0,0,35,0,35,0,35
Laos,2008,0,0,350,0,350,0,0,0,0,350,250,0,0,250,100,0,100,0,350
Liberia,2008,0,0,7,0,7,0,0,0,0,7,7,0,0,7,0,0,0,0,7
Madagascar,2008,72,30,500,0,530,0,0,0,0,602,115,0,0,115,450,0,450,37,602
Malawi,2008,1,15,0,0,15,0,0,0,0,16,15,0,0,15,1,0,1,0,16
Malaysia,2008,0,0,975,0,975,640,0,0,640,1615,0,0,1100,1100,0,515,515,0,1615
Mexico,2008,130,4300,250,0,4550,425,15,95,535,5215,2125,0,610,2735,700,1671,2371,109,5215
Montenegro,2008,0,0,0,0,0,175,0,0,175,175,0,0,0,0,175,0,175,0,175
Morocco,2008,0,0,0,0,0,600,10,0,610,610,0,0,0,0,610,0,610,0,610
New Caledonia,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2008,0,0,0,0,0,150,5,130,285,285,0,0,0,0,155,130,285,0,285
Nicaragua,2008,33,1650,0,0,1650,45,0,20,65,1748,1425,10,160,1595,125,20,145,8,1748
Nigeria,2008,0,0,30,0,30,0,0,0,0,30,1,0,0,1,24,5,29,0,30
North Macedonia,2008,0,0,0,0,0,115,0,0,115,115,0,0,0,0,115,0,115,0,115
Norway,2008,0,0,0,0,0,610,70,90,770,770,0,0,0,0,680,90,770,0,770
Panama,2008,0,100,0,0,100,0,0,0,0,100,45,0,0,45,55,0,55,0,100
Papua New Guinea,2008,86,1000,35,0,1035,0,0,0,0,1121,1070,0,0,1070,30,0,30,21,1121
Paraguay,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,2008,64,4000,0,0,4000,0,0,0,0,4064,3830,0,0,3830,10,140,150,84,4064
Philippines,2008,129,35,325,0,360,450,0,920,1370,1859,0,0,0,0,140,1595,1735,124,1859
Russia,2008,0,0,0,0,0,1240,135,1950,3325,3325,0,0,0,0,1375,1950,3325,0,3325
Rwanda,2008,0,340,0,0,340,0,0,0,0,340,340,0,0,340,0,0,0,0,340
Saudi Arabia,2008,0,0,0,0,0,540,10,0,550,550,0,0,0,0,550,0,550,0,550
Senegal,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,2008,0,0,0,0,0,590,0,70,660,660,0,0,0,0,590,70,660,0,660
Sierra Leone,2008,0,0,87,0,87,0,0,0,0,87,70,0,0,70,17,0,17,0,87
Singapore,2008,0,0,0,0,0,100,0,0,100,100,0,0,0,0,100,0,100,0,100
South Africa,2008,0,0,0,0,0,310,0,60,370,370,0,0,0,0,310,60,370,0,370
Sri Lanka,2008,6,10,25,0,35,0,0,0,0,41,0,0,0,0,41,0,41,0,41
Switzerland,2008,0,0,0,0,0,1780,0,0,1780,1780,0,325,0,325,1455,0,1455,0,1780
Taiwan,2008,0,0,0,0,0,175,30,0,205,205,0,0,0,0,205,0,205,0,205
Tanzania,2008,360,650,500,0,1150,0,0,0,0,1510,1200,0,5,1205,25,0,25,280,1510
Thailand,2008,102,0,800,0,800,675,0,0,675,1577,0,0,1050,1050,210,280,490,37,1577
Togo,2008,3,0,185,0,185,0,0,0,0,188,188,0,0,188,0,0,0,0,188
Trinidad and Tobago,2008,0,1,1,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,2
Turkey,2008,0,0,0,0,0,260,15,0,275,275,0,0,0,0,275,0,275,0,275
Uganda,2008,561,650,2610,0,3260,0,0,0,0,3821,3050,0,0,3050,130,0,130,641,3821
Ukraine,2008,0,0,0,0,0,80,255,1590,1925,1925,0,0,0,0,335,1590,1925,0,1925
United Kingdom,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2008,5600,125,0,0,125,21650,0,590,22240,27965,0,800,0,800,21242,590,21832,5333,27965
Uruguay,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2008,414,1000,0,0,1000,0,4,1,5,1419,200,35,0,235,825,10,835,349,1419
Vietnam,2008,1747,480,16500,0,16980,70,0,25,95,18822,15430,25,110,15565,850,100,950,2307,18822
Yemen,2008,0,150,0,0,150,0,0,0,0,150,35,0,0,35,115,0,115,0,150
Yemen (Sanaa),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,2008,0,39,0,0,39,0,0,0,0,39,39,0,0,39,0,0,0,0,39
Zimbabwe,2008,0,22,0,0,22,0,0,0,0,22,18,0,0,18,4,0,4,0,22
Albania,2009,0,0,0,0,0,75,0,0,75,75,0,0,0,0,75,0,75,0,75
Algeria,2009,0,0,0,0,0,2060,0,20,2080,2080,0,0,0,0,2060,20,2080,0,2080
Angola,2009,20,0,30,0,30,0,0,0,0,50,8,0,0,8,31,0,31,11,50
Argentina,2009,0,0,0,0,0,500,5,240,745,745,0,0,0,0,505,240,745,0,745
Armenia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2009,0,0,0,0,0,1035,70,290,1395,1395,0,0,0,0,1105,290,1395,0,1395
Benin,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2009,44,140,0,0,140,0,0,0,0,184,74,0,0,74,75,0,75,35,184
Bosnia and Herzegovina,2009,0,0,0,0,0,285,0,0,285,285,0,0,0,0,285,0,285,0,285
Brazil,2009,6576,33000,11800,0,44800,0,0,0,0,51376,26580,80,3120,29780,17720,1040,18760,2836,51376
Burundi,2009,18,300,0,0,300,0,0,0,0,318,290,0,0,290,5,0,5,23,318
Cameroon,2009,219,90,500,0,590,0,0,0,0,809,690,0,0,690,70,5,75,44,809
Canada,2009,0,0,0,0,0,2010,915,1160,4085,4085,0,0,0,0,2925,1160,4085,0,4085
Central African Republic,2009,137,0,30,0,30,0,0,0,0,167,25,0,0,25,30,0,30,112,167
Chile,2009,0,0,0,0,0,230,0,0,230,230,0,0,0,0,230,0,230,0,230
China,2009,0,1173,0,0,1173,426,48,184,658,1831,565,10,121,696,910,225,1135,0,1831
Colombia,2009,209,8100,0,0,8100,570,0,20,590,8899,6445,65,925,7435,880,300,1180,284,8899
Congo (Brazzaville),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),2009,31,105,200,0,305,0,0,0,0,336,102,0,0,102,200,0,200,34,336
Costa Rica,2009,26,1475,0,0,1475,130,0,17,147,1648,1200,14,3,1217,289,17,306,125,1648
Cote d'Ivoire,2009,88,0,2350,0,2350,0,0,0,0,2438,1755,0,290,2045,300,0,300,93,2438
Croatia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,2009,0,120,0,0,120,0,0,0,0,120,7,0,0,7,113,0,113,0,120
Dominican Republic,2009,0,500,0,0,500,0,0,0,0,500,36,0,0,36,464,0,464,0,500
Ecuador,2009,7,400,285,0,685,650,3,79,732,1424,450,10,740,1200,9,150,159,65,1424
Egypt,2009,0,0,0,0,0,150,0,0,150,150,0,0,0,0,150,0,150,0,150
El Salvador,2009,32,1300,0,0,1300,0,12,125,137,1469,1236,4,0,1240,56,125,181,48,1469
Equatorial Guinea,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2009,120,6000,0,0,6000,0,0,0,0,6120,3250,0,0,3250,2800,0,2800,70,6120
European Union,2009,16325,0,0,0,0,44525,0,0,44525,60850,0,890,40,930,47010,2060,49070,10850,60850
Gabon,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2009,0,0,0,0,0,55,0,0,55,55,0,0,0,0,55,0,55,0,55
Ghana,2009,5,0,30,0,30,0,0,0,0,35,30,0,0,30,1,0,1,4,35
Guatemala,2009,222,4000,10,0,4010,60,0,165,225,4457,3860,0,30,3890,175,165,340,227,4457
Guinea,2009,12,0,445,0,445,0,0,0,0,457,410,0,0,410,40,0,40,7,457
Guyana,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,2009,44,275,0,0,275,0,0,0,0,319,10,0,0,10,284,0,284,25,319
Honduras,2009,50,3550,0,0,3550,0,8,10,18,3618,3200,0,0,3200,190,10,200,218,3618
India,2009,2568,1575,3250,0,4825,725,0,0,725,8118,3040,0,1225,4265,1010,210,1220,2633,8118
Indonesia,2009,1208,1500,9000,0,10500,425,0,145,570,12278,7425,0,1325,8750,1625,300,1925,1603,12278
Iran,2009,0,0,0,0,0,115,0,210,325,325,0,0,0,0,115,210,325,0,325
Jamaica,2009,0,28,0,0,28,0,0,0,0,28,23,0,0,23,5,0,5,0,28
Japan,2009,2050,0,0,0,0,6160,110,520,6790,8840,0,0,0,0,6370,520,6890,1950,8840
Jordan,2009,0,0,0,0,0,220,0,110,330,330,0,0,0,0,220,110,330,0,330
Kazakhstan,2009,0,0,0,0,0,0,0,270,270,270,0,0,0,0,0,270,270,0,270
Kenya,2009,252,900,0,0,900,0,0,0,0,1152,740,0,0,740,20,0,20,392,1152
"Korea, South",2009,0,0,0,0,0,1665,75,0,1740,1740,0,0,0,0,1740,0,1740,0,1740
Kosovo,2009,0,0,0,0,0,35,0,0,35,35,0,0,0,0,35,0,35,0,35
Laos,2009,0,0,390,0,390,0,0,0,0,390,290,0,0,290,100,0,100,0,390
Liberia,2009,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,2
Madagascar,2009,37,25,450,0,475,0,0,0,0,512,40,0,0,40,450,0,450,22,512
Malawi,2009,0,20,0,0,20,0,0,0,0,20,19,0,0,19,1,0,1,0,20
Malaysia,2009,0,0,1000,0,1000,940,0,0,940,1940,0,0,1460,1460,0,480,480,0,1940
Mexico,2009,109,3950,200,0,4150,690,20,135,845,5104,1790,0,690,2480,800,1700,2500,124,5104
Montenegro,2009,0,0,0,0,0,210,0,0,210,210,0,0,0,0,210,0,210,0,210
Morocco,2009,0,0,0,0,0,580,10,0,590,590,0,0,0,0,590,0,590,0,590
New Caledonia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2009,0,0,0,0,0,160,5,125,290,290,0,0,0,0,165,125,290,0,290
Nicaragua,2009,8,1925,0,0,1925,35,0,15,50,1983,1650,10,156,1816,115,15,130,37,1983
Nigeria,2009,0,0,30,0,30,0,0,0,0,30,3,0,0,3,22,5,27,0,30
North Macedonia,2009,0,0,0,0,0,110,0,0,110,110,0,0,0,0,110,0,110,0,110
Norway,2009,0,0,0,0,0,580,75,90,745,745,0,0,0,0,655,90,745,0,745
Panama,2009,0,100,0,0,100,0,0,5,5,105,53,0,0,53,47,5,52,0,105
Papua New Guinea,2009,21,1050,35,0,1085,0,0,0,0,1106,1040,0,0,1040,30,0,30,36,1106
Paraguay,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,2009,84,3300,0,0,3300,0,0,0,0,3384,3150,0,0,3150,10,150,160,74,3384
Philippines,2009,124,20,225,0,245,450,0,1900,2350,2719,0,0,0,0,125,2124,2249,470,2719
Russia,2009,0,0,0,0,0,1430,140,2375,3945,3945,0,0,0,0,1570,2375,3945,0,3945
Rwanda,2009,0,240,0,0,240,0,0,0,0,240,240,0,0,240,0,0,0,0,240
Saudi Arabia,2009,0,0,0,0,0,590,10,0,600,600,0,0,0,0,600,0,600,0,600
Senegal,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,2009,0,0,0,0,0,525,0,70,595,595,0,0,0,0,525,70,595,0,595
Sierra Leone,2009,0,0,90,0,90,0,0,0,0,90,70,0,0,70,20,0,20,0,90
Singapore,2009,0,0,0,0,0,75,0,0,75,75,0,0,0,0,75,0,75,0,75
South Africa,2009,0,0,0,0,0,390,0,135,525,525,0,0,0,0,390,135,525,0,525
Sri Lanka,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,2009,0,0,0,0,0,1940,0,0,1940,1940,0,440,0,440,1500,0,1500,0,1940
Taiwan,2009,0,0,0,0,0,250,35,0,285,285,0,0,0,0,285,0,285,0,285
Tanzania,2009,280,400,200,0,600,0,0,0,0,880,800,0,5,805,35,0,35,40,880
Thailand,2009,37,0,900,0,900,1100,0,0,1100,2037,0,0,1510,1510,200,327,527,0,2037
Togo,2009,0,0,436,0,436,0,0,0,0,436,436,0,0,436,0,0,0,0,436
Trinidad and Tobago,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,2009,0,0,0,0,0,275,20,0,295,295,0,0,0,0,295,0,295,0,295
Uganda,2009,641,818,2052,0,2870,0,0,0,0,3511,2670,0,0,2670,140,0,140,701,3511
Ukraine,2009,0,0,0,0,0,100,275,1410,1785,1785,0,0,0,0,375,1410,1785,0,1785
United Kingdom,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2009,5333,53,0,0,53,20240,0,630,20870,26256,0,615,0,615,20761,630,21391,4250,26256
Uruguay,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2009,349,725,0,0,725,310,5,1,316,1390,120,5,0,125,865,10,875,390,1390
Vietnam,2009,2307,450,18050,0,18500,50,0,25,75,20882,18425,50,195,18670,1080,120,1200,1012,20882
Yemen,2009,0,150,0,0,150,0,0,0,0,150,30,0,0,30,120,0,120,0,150
Yemen (Sanaa),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,2009,0,27,0,0,27,0,0,0,0,27,27,0,0,27,0,0,0,0,27
Zimbabwe,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2010,0,0,0,0,0,85,0,0,85,85,0,0,0,0,85,0,85,0,85
Algeria,2010,0,0,0,0,0,1770,0,45,1815,1815,0,0,0,0,1770,45,1815,0,1815
Angola,2010,11,0,25,0,25,0,0,0,0,36,5,0,0,5,26,0,26,5,36
Argentina,2010,0,0,0,0,0,510,10,290,810,810,0,0,0,0,520,290,810,0,810
Armenia,2010,0,0,0,0,0,190,0,0,190,190,0,0,0,0,190,0,190,0,190
Australia,2010,0,0,0,0,0,1110,60,275,1445,1445,0,0,0,0,1170,275,1445,0,1445
Benin,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2010,35,125,0,0,125,0,0,0,0,160,66,0,0,66,75,0,75,19,160
Bosnia and Herzegovina,2010,0,0,0,0,0,300,0,0,300,300,0,0,0,0,300,0,300,0,300
Brazil,2010,2836,41800,12700,0,54500,0,0,0,0,57336,31810,60,3140,35010,18330,1090,19420,2906,57336
Burundi,2010,23,235,0,0,235,0,0,0,0,258,235,0,0,235,8,0,8,15,258
Cameroon,2010,44,90,625,0,715,0,0,0,0,759,650,0,0,650,70,5,75,34,759
Canada,2010,0,0,0,0,0,2305,870,1070,4245,4245,0,0,0,0,3175,1070,4245,0,4245
Central African Republic,2010,112,0,27,0,27,0,0,0,0,139,22,0,0,22,30,0,30,87,139
Chile,2010,0,0,0,0,0,200,0,0,200,200,0,0,0,0,200,0,200,0,200
China,2010,0,827,0,0,827,681,58,245,984,1811,537,12,156,705,806,300,1106,0,1811
Colombia,2010,284,8525,0,0,8525,760,0,35,795,9604,7400,50,935,8385,820,300,1120,99,9604
Congo (Brazzaville),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),2010,34,100,165,0,265,0,0,0,0,299,75,0,0,75,200,0,200,24,299
Costa Rica,2010,125,1575,0,0,1575,175,0,22,197,1897,1255,9,0,1264,411,22,433,200,1897
Cote d'Ivoire,2010,93,0,1600,0,1600,0,0,0,0,1693,725,0,260,985,300,0,300,408,1693
Croatia,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,2010,0,120,0,0,120,0,0,0,0,120,5,0,0,5,115,0,115,0,120
Dominican Republic,2010,0,500,0,0,500,0,0,0,0,500,48,0,0,48,452,0,452,0,500
Ecuador,2010,65,400,250,0,650,820,3,60,883,1598,425,0,825,1250,15,190,205,143,1598
Egypt,2010,0,0,0,0,0,250,0,0,250,250,0,0,0,0,250,0,250,0,250
